name,scr,naming,conditional,events,loop,proc,lists,dp,sensors,media,social,connect,draw,operator,ui,total
prTestBlu0318105730,1,3,2,3,0,2,0,0,1,1,0,2,0,3,3,21
prTestBlu0318201855,1,3,2,3,0,2,0,0,1,1,0,2,0,3,3,21
prTestBlu0318203055,1,3,2,3,0,2,0,0,1,1,0,2,0,3,3,21
prTestBlu0318204242,1,3,2,3,0,2,0,0,1,1,0,2,0,3,3,21
prTesteprojeto0318104425,1,2,0,1,0,0,0,0,0,0,0,3,0,0,0,7
prTestTestTest0318111841,1,3,0,1,0,0,1,0,1,0,0,0,0,0,1,8
prtexttospeech0318121741,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4
prThefarm0318175510,2,2,0,2,0,0,0,0,0,2,0,0,0,0,3,11
prtheflowerapp0318180119,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
prthegreatapp0318232414,3,2,0,1,0,0,0,0,0,0,0,0,0,0,2,8
prtheHealthcar0318180055,1,2,1,3,0,0,0,2,1,0,3,1,0,3,2,19
prTheReadingRo0418212400,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,7
prTicTacToe0218222053,2,1,2,3,0,0,0,2,0,0,0,0,0,3,2,15
prTicTacToe0318195549,2,2,2,1,0,2,0,0,0,0,0,0,0,3,3,15
prTiposdeTrian0318104113,1,3,1,1,0,0,0,0,0,0,0,0,0,3,2,11
prTOCALAESTREL0218222037,1,2,1,2,0,0,0,0,1,0,0,0,3,3,2,15
prToDoManager0318232649,2,2,3,3,0,1,2,2,0,0,0,0,0,3,3,21
prtojay0318204623,3,2,1,3,3,2,2,3,0,0,0,0,1,3,3,26
prtontoelquelo0318111600,1,3,0,0,0,0,0,0,1,1,0,0,3,0,2,11
prtotallyaccur0318175057,1,1,1,3,0,0,0,0,1,0,0,0,3,3,1,14
prtowerjump0318104555,2,2,3,3,0,3,0,0,1,1,0,0,3,3,3,24
prTraduceepron0318111550,2,2,1,3,0,0,0,0,1,2,0,0,0,2,3,16
prtraduttoretr0218221726,1,2,0,3,0,0,1,0,0,3,0,0,0,1,2,13
prtranslatetos0318105750,2,2,0,2,0,0,0,0,1,1,0,0,0,0,2,10
prTranslator0218221946,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
prTranslator0318175003 (1),1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
prTranslator0318175003 (2),1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
prTranslator0318175003,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
prTreasurescho0218001029,1,1,1,2,0,0,0,0,1,0,0,0,0,3,3,12
prTrendersAtta0218001509,2,2,3,3,0,0,0,1,1,0,0,0,3,3,3,21
prTrendersAtta0318180400,2,2,3,3,0,0,0,1,1,0,0,0,3,3,3,21
prTrendersAtta0318195106,2,2,3,3,0,0,0,1,1,0,0,0,3,3,3,21
prTrendersAtta0318204428,2,2,3,3,0,0,0,1,1,0,0,0,3,3,3,21
prTrendersAtta0318233408,2,2,3,3,0,0,0,1,1,0,0,0,3,3,3,21
prTresEnRallaM0218221849,1,3,1,2,3,3,2,0,1,0,0,0,0,3,2,21
prtreyx0318181622,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
prTriangulos0318104310,1,3,1,1,0,0,0,0,0,0,0,0,0,3,3,12
prtriangulos0318104739,1,3,1,1,0,0,0,0,0,0,0,0,0,3,2,11
prTriangulosCa0318104457,1,3,1,1,0,0,0,0,0,0,0,0,0,3,2,11
prTriviaApp0318195437,2,2,2,2,0,0,3,0,0,0,0,0,0,3,3,17
prTriviaGame0318195426,2,2,2,2,0,0,2,0,0,0,0,0,0,3,2,15
prTrollPaintin0318121938,1,3,0,3,0,0,0,0,0,2,0,0,1,2,2,14
prU10318181507,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4
prUltimateCalc0318111611,1,2,2,3,0,3,0,2,0,0,1,3,0,3,3,23
prVelezMusicAr0318205036,3,2,0,0,0,0,0,0,0,2,0,0,0,0,2,9
prVerTriangulos0318104854,1,3,1,1,0,0,0,0,0,0,0,0,0,3,2,11
prVETET0318233637,1,3,1,3,1,0,0,0,1,0,0,2,0,3,3,18
prvocesysonidos0318180337,2,3,0,2,0,0,0,0,0,2,0,0,0,0,3,12
prwebbrowser0318204930,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5
prWebServiceAp0318204941,1,2,1,2,3,0,1,0,0,1,0,3,0,3,2,19
prWebServicesA0218221217,1,2,1,2,3,0,1,0,0,1,0,3,0,3,2,19
prWebServicesA0318204148,1,2,1,2,3,0,1,0,0,1,0,3,0,3,2,19
